travel_type,market,measure,unit,state,state_abbrev,period_type,year,quarter,period_label,is_calendar_year_end,value,source,source_file,original_table,original_title
Overnight,All overnight,Trips,000 trips,New South Wales,NSW,quarter,2023,Q1,Q1 2023,False,10262.309,Tourism Research Australia: Domestic Tourism Statistics,domestic_tourism_overnight_backcast_2019_2024.xlsx,Table 1,"Backcast Overnight Trips ('000), Australia and States"
Overnight,All overnight,Trips,000 trips,New South Wales,NSW,quarter,2023,Q2,Q2 2023,False,9607.094,Tourism Research Australia: Domestic Tourism Statistics,domestic_tourism_overnight_backcast_2019_2024.xlsx,Table 1,"Backcast Overnight Trips ('000), Australia and States"
Overnight,All overnight,Trips,000 trips,New South Wales,NSW,quarter,2023,Q3,Q3 2023,False,9358.609,Tourism Research Australia: Domestic Tourism Statistics,domestic_tourism_overnight_backcast_2019_2024.xlsx,Table 1,"Backcast Overnight Trips ('000), Australia and States"
Overnight,All overnight,Trips,000 trips,New South Wales,NSW,quarter,2023,Q4,Q4 2023,True,10385.176,Tourism Research Australia: Domestic Tourism Statistics,domestic_tourism_overnight_backcast_2019_2024.xlsx,Table 1,"Backcast Overnight Trips ('000), Australia and States"
Overnight,All overnight,Trips,000 trips,New South Wales,NSW,quarter,2024,Q1,Q1 2024,False,10294.761,Tourism Research Australia: Domestic Tourism Statistics,domestic_tourism_overnight_backcast_2019_2024.xlsx,Table 1,"Backcast Overnight Trips ('000), Australia and States"
Overnight,All overnight,Trips,000 trips,New South Wales,NSW,quarter,2024,Q2,Q2 2024,False,9336.224,Tourism Research Australia: Domestic Tourism Statistics,domestic_tourism_overnight_backcast_2019_2024.xlsx,Table 1,"Backcast Overnight Trips ('000), Australia and States"
Overnight,All overnight,Trips,000 trips,New South Wales,NSW,quarter,2024,Q3,Q3 2024,False,9156.842,Tourism Research Australia: Domestic Tourism Statistics,domestic_tourism_overnight_backcast_2019_2024.xlsx,Table 1,"Backcast Overnight Trips ('000), Australia and States"
Overnight,All overnight,Trips,000 trips,New South Wales,NSW,quarter,2024,Q4,Q4 2024,True,10592.612,Tourism Research Australia: Domestic Tourism Statistics,domestic_tourism_overnight_backcast_2019_2024.xlsx,Table 1,"Backcast Overnight Trips ('000), Australia and States"
Overnight,All overnight,Trips,000 trips,Victoria,VIC,quarter,2019,Q1,Q1 2019,False,8583.953,Tourism Research Australia: Domestic Tourism Statistics,domestic_tourism_overnight_backcast_2019_2024.xlsx,Table 1,"Backcast Overnight Trips ('000), Australia and States"
Overnight,All overnight,Trips,000 trips,Victoria,VIC,quarter,2019,Q2,Q2 2019,False,7298.266,Tourism Research Australia: Domestic Tourism Statistics,domestic_tourism_overnight_backcast_2019_2024.xlsx,Table 1,"Backcast Overnight Trips ('000), Australia and States"
Overnight,All overnight,Trips,000 trips,Victoria,VIC,quarter,2019,Q3,Q3 2019,False,7305.262,Tourism Research Australia: Domestic Tourism Statistics,domestic_tourism_overnight_backcast_2019_2024.xlsx,Table 1,"Backcast Overnight Trips ('000), Australia and States"
Overnight,All overnight,Trips,000 trips,Victoria,VIC,quarter,2019,Q4,Q4 2019,True,7983.477,Tourism Research Australia: Domestic Tourism Statistics,domestic_tourism_overnight_backcast_2019_2024.xlsx,Table 1,"Backcast Overnight Trips ('000), Australia and States"
Overnight,All overnight,Trips,000 trips,Victoria,VIC,quarter,2020,Q1,Q1 2020,False,8153.551,Tourism Research Australia: Domestic Tourism Statistics,domestic_tourism_overnight_backcast_2019_2024.xlsx,Table 1,"Backcast Overnight Trips ('000), Australia and States"
