travel_type,market,measure,unit,state,state_abbrev,year,annual_value,annual_method,source
Overnight,All overnight,Spend,AUD millions,New South Wales,NSW,2020,15481.0,sum of four quarters,Tourism Research Australia: Domestic Tourism Statistics
Overnight,All overnight,Spend,AUD millions,New South Wales,NSW,2021,16434.0,sum of four quarters,Tourism Research Australia: Domestic Tourism Statistics
Overnight,All overnight,Spend,AUD millions,New South Wales,NSW,2022,30038.0,sum of four quarters,Tourism Research Australia: Domestic Tourism Statistics
Overnight,All overnight,Spend,AUD millions,New South Wales,NSW,2023,31165.0,sum of four quarters,Tourism Research Australia: Domestic Tourism Statistics
Overnight,All overnight,Spend,AUD millions,New South Wales,NSW,2024,31361.0,sum of four quarters,Tourism Research Australia: Domestic Tourism Statistics
Overnight,All overnight,Spend,AUD millions,Victoria,VIC,2019,16036.0,sum of four quarters,Tourism Research Australia: Domestic Tourism Statistics
Overnight,All overnight,Spend,AUD millions,Victoria,VIC,2020,7828.0,sum of four quarters,Tourism Research Australia: Domestic Tourism Statistics
Overnight,All overnight,Spend,AUD millions,Victoria,VIC,2021,11321.0,sum of four quarters,Tourism Research Australia: Domestic Tourism Statistics
Overnight,All overnight,Spend,AUD millions,Victoria,VIC,2022,21850.0,sum of four quarters,Tourism Research Australia: Domestic Tourism Statistics
Overnight,All overnight,Spend,AUD millions,Victoria,VIC,2023,22601.0,sum of four quarters,Tourism Research Australia: Domestic Tourism Statistics
Overnight,All overnight,Spend,AUD millions,Victoria,VIC,2024,24202.0,sum of four quarters,Tourism Research Australia: Domestic Tourism Statistics
Overnight,All overnight,Spend,AUD millions,Queensland,QLD,2019,16274.0,sum of four quarters,Tourism Research Australia: Domestic Tourism Statistics
Overnight,All overnight,Spend,AUD millions,Queensland,QLD,2020,12432.0,sum of four quarters,Tourism Research Australia: Domestic Tourism Statistics
Overnight,All overnight,Spend,AUD millions,Queensland,QLD,2021,17413.0,sum of four quarters,Tourism Research Australia: Domestic Tourism Statistics
Overnight,All overnight,Spend,AUD millions,Queensland,QLD,2022,26430.0,sum of four quarters,Tourism Research Australia: Domestic Tourism Statistics
Overnight,All overnight,Spend,AUD millions,Queensland,QLD,2023,28075.0,sum of four quarters,Tourism Research Australia: Domestic Tourism Statistics
Overnight,All overnight,Spend,AUD millions,Queensland,QLD,2024,28061.0,sum of four quarters,Tourism Research Australia: Domestic Tourism Statistics
Overnight,All overnight,Spend,AUD millions,South Australia,SA,2019,4203.0,sum of four quarters,Tourism Research Australia: Domestic Tourism Statistics
